TargetID	DrugID	Highest_status	MOA
T86513	D08SJT	Phase 3 Trial	Blocker
T94471	D08SPH	Phase 2 Trial	Inhibitor
T99685	D09ZSC	Investigative	Inhibitor
T87554	D0A3RP	Investigative	Inhibitor
T88547	D0A6NU	Investigative	Modulator
T89039	D0A6NU	Investigative	Modulator
T98278	D0AL2K	Investigative	Antagonist
T18143	D0BK1N	Preclinical	Inhibitor
T89736	D0BK1N	Preclinical	Inhibitor
T99834	D0C5MT	Phase 1/2 Trial	Agonist
T86928	D0CP8N	Investigative	Inhibitor
T86646	D0D1HH	Investigative	Antagonist
T00216	D0D1HH	Investigative	Inhibitor
T99685	D0D1OG	Investigative	Inhibitor
T00043	D0D5FU	Phase 3 Trial	Inhibitor
T98271	D0D5FU	Phase 3 Trial	Inhibitor
T86577	D0D8RC	Investigative	Inhibitor
T18226	D0DG0P	Investigative	Inhibitor
T87325	D0FT8G	Investigative	Inhibitor
T99993	D0FX3U	Phase 2/3 Trial	Inhibitor
T99455	D0I1PS	Investigative	Inhibitor
T87325	D0J6GJ	Phase 2 Trial	Inhibitor
T88015	D0J9EI	Phase 3 Trial	Inhibitor
T11562	D0K6XI	Preclinical	Blocker
T98092	D0K8RK	Investigative	Inhibitor
T99455	D0KG3Y	Phase 3 Trial	Inhibitor
T86437	D0KH8Q	Phase 3 Trial	Inhibitor
T87554	D0KH8Q	Phase 3 Trial	Inhibitor
T98278	D0O2WJ	Phase 3 Trial	Blocker
T18143	D0P4BC	Phase 2 Trial	Inhibitor
T87325	D0P4BC	Phase 2 Trial	Inhibitor
T89736	D0P4BC	Phase 2 Trial	Inhibitor
T86513	D0R8WT	Phase 3 Trial	Inhibitor
T18143	D0SD1L	Preclinical	Inhibitor
T89736	D0SD1L	Preclinical	Inhibitor
T00145	D0UK3A	Phase 3 Trial	Inhibitor
T00158	D0UK3A	Phase 3 Trial	Inhibitor
T99884	D0UK3A	Phase 3 Trial	Inhibitor
T94918	D0VD1R	Investigative	Inhibitor
T89658	D0VI8H	Phase 1 Trial	Inhibitor
T89879	D0VI8H	Phase 1 Trial	Inhibitor
T86573	D0VI8H	Phase 1 Trial	Inhibitor
T02024	D0VI8H	Phase 1 Trial	Inhibitor
T87325	D0W5WZ	Investigative	Inhibitor
T98311	D0XS1W	Investigative	Inhibitor
T99057	D0YN5T	Investigative	Inhibitor
T99149	D0YN5T	Investigative	Inhibitor
T18143	D0Z8EV	Investigative	Inhibitor
T85943	D0N8TQ	Investigative	Inhibitor
T02551	D06LQH	Investigative	Agonist
T67162	D06LQH	Investigative	Inhibitor
T13057	D00MFW	Patented	Inhibitor
T94033	D05MJU	Investigative	Inhibitor
T67894	D0J7CD	Investigative	.
T75243	D0QE9F	Investigative	Inhibitor
T95913	D0QE9F	Investigative	Inhibitor
T33846	D0LT4D	Investigative	.
T60366	D01OHD	Investigative	Inhibitor
T97413	D04JSE	Investigative	Agonist
T83193	D0F4LI	Investigative	Agonist
T88304	D0JV8Q	Investigative	Inhibitor
T83369	D0Z2UT	Investigative	Modulator
T92072	D07DTC	Investigative	Modulator
T16156	D0EI7H	Investigative	Modulator
T72168	D02SLV	Investigative	Inhibitor
T59679	D0H1UY	Investigative	Agonist
T83193	D02GNL	Investigative	Antagonist
T02001	D04BMR	Investigative	Modulator
T10265	D04BMR	Investigative	Modulator
T61744	D04BMR	Investigative	Inhibitor
T65197	D06QIW	Investigative	Modulator
T64765	D0HM7G	Investigative	Antagonist
T48470	D0ZB2E	Investigative	Modulator
T87024	D0F5UO	Investigative	Inhibitor
T59328	D03MTY	Investigative	Modulator
T53585	D0Q2EH	Investigative	Inhibitor
T09826	D03QAS	Investigative	Inhibitor
T68782	D02LQA	Investigative	Modulator
T17758	D00LDI	Investigative	Inhibitor
T17687	D0O5CL	Investigative	Modulator
T73215	D00GLQ	Investigative	Modulator
T51191	D06YYY	Investigative	Inhibitor
T40954	D05KKF	Investigative	Inhibitor
T59604	D0YJ5H	Investigative	Antagonist
T37693	D0UX4A	Investigative	Activator
T45593	D03LGX	Investigative	Modulator
T98913	D07CNF	Investigative	Stimulator
T68766	D0P4MA	Investigative	.
T11211	D0NH0U	Investigative	Antagonist
T51666	D0E2MI	Investigative	Modulator
T62449	D08OPW	Investigative	Inhibitor
T97071	D0Z9BU	Investigative	.
